k, value
170,0.818421
170,0.816854
170,0.821627
170,0.81709
170,0.819056
170,0.815077
170,0.819253
171,0.814234
171,0.817305
171,0.81597
171,0.818233
171,0.820192
171,0.823566
171,0.823968
171,0.822099
171,0.815603
171,0.819427
172,0.825551
172,0.823654
172,0.830432
172,0.820365
172,0.82203
172,0.820084
172,0.817876
172,0.819331
172,0.824342
172,0.821928
173,0.825502
173,0.822739
173,0.827006
173,0.825011
173,0.819115
173,0.826092
173,0.820819
173,0.826194
173,0.820626
173,0.828287
174,0.825729
174,0.824933
174,0.823048
174,0.832686
174,0.825614
174,0.823216
174,0.824149
174,0.827054
174,0.830817
174,0.824965
175,0.833442
175,0.825443
175,0.828252
175,0.829293
175,0.83048
175,0.826689
175,0.826473
175,0.826737
175,0.823342
175,0.819624
176,0.827848
176,0.825077
176,0.831515
176,0.825774
176,0.830154
176,0.825992
176,0.826644
176,0.830323
176,0.834448
176,0.828652
177,0.831516
177,0.833085
177,0.837218
177,0.82963
177,0.835737
177,0.834314
177,0.832321
177,0.832276
177,0.833624
177,0.830022
178,0.830511
178,0.838195
178,0.832323
178,0.831781
178,0.833765
178,0.831992
178,0.832852
178,0.835135
178,0.832519
178,0.833581
179,0.837262
179,0.829433
179,0.838757
179,0.839177
179,0.838072
179,0.831032
179,0.837086
179,0.842141
179,0.838506
179,0.836973
180,0.837009
180,0.835529
180,0.835
180,0.836634
180,0.843357
180,0.838266
180,0.83378
180,0.836609
180,0.836438
180,0.841392
181,0.840186
181,0.839712
181,0.83893
181,0.841963
181,0.836543
181,0.837446
181,0.840918
181,0.837618
181,0.835509
181,0.838211
182,0.837649
182,0.839997
182,0.84001
182,0.839609
182,0.84461
182,0.838731
182,0.835727
182,0.838732
182,0.840331
182,0.842754
183,0.839326
183,0.842567
183,0.843297
183,0.841046
183,0.838945
183,0.842245
183,0.83992
183,0.84401
183,0.841707
183,0.835786
184,0.843589
184,0.847845
184,0.845587
184,0.8493
184,0.847894
184,0.847735
184,0.845204
184,0.846623
184,0.844383
184,0.839566
185,0.851597
185,0.840273
185,0.848538
185,0.850071
185,0.839746
185,0.843699
185,0.849641
185,0.844936
185,0.846314
185,0.849365
186,0.849893
186,0.844256
186,0.850346
186,0.850305
186,0.845134
186,0.84948
186,0.84623
186,0.847648
186,0.848835
186,0.847307
187,0.853462
187,0.849629
187,0.849837
187,0.847741
187,0.847609
187,0.851588
187,0.84663
187,0.844023
187,0.84906
187,0.849382
188,0.855483
188,0.849545
188,0.853823
188,0.847035
188,0.847863
188,0.85191
188,0.847244
188,0.855322
188,0.850135
188,0.844956
189,0.852958
189,0.852765
189,0.854645
189,0.857037
189,0.853093
189,0.861223
189,0.847397
189,0.855141
189,0.849789
189,0.84926
190,0.852697
190,0.855646
190,0.854158
190,0.853876
190,0.861272
190,0.858471
190,0.851925
190,0.853904
190,0.858935
190,0.855216
191,0.855245
191,0.854469
191,0.859122
191,0.860681
191,0.860028
191,0.854488
191,0.852174
191,0.859911
191,0.861077
191,0.856993
192,0.852073
192,0.856272
192,0.855078
192,0.85962
192,0.85682
192,0.860255
192,0.858569
192,0.863518
192,0.857401
192,0.857657
193,0.857506
193,0.861228
193,0.858936
193,0.857089
193,0.861647
193,0.864919
193,0.866516
193,0.853658
193,0.86408
193,0.861356
194,0.866772
194,0.864943
194,0.863624
194,0.866848
194,0.855841
194,0.861529
194,0.859269
194,0.864014
194,0.859609
194,0.863448
195,0.864392
195,0.858336
195,0.864758
195,0.870684
195,0.861131
195,0.865051
195,0.867994
195,0.866408
195,0.862363
195,0.86093
196,0.869499
196,0.86704
196,0.864714
196,0.863719
196,0.86249
196,0.866718
196,0.866675
196,0.865495
196,0.866896
196,0.868399
197,0.870233
197,0.866947
197,0.868867
197,0.866184
197,0.867996
197,0.869825
197,0.863943
197,0.864932
197,0.86768
197,0.866204
198,0.871713
198,0.872016
198,0.871602
198,0.870092
198,0.868713
198,0.870187
198,0.864627
198,0.868262
198,0.875036
198,0.866321
199,0.876027
199,0.869274
199,0.868159
199,0.871747
199,0.871797
199,0.872145
199,0.871378
199,0.874362
199,0.873357
199,0.867334
200,0.871632
200,0.877528
200,0.871386
200,0.870563
200,0.869287
200,0.873768
200,0.868888
200,0.873292
200,0.871376
200,0.874548
201,0.877113
201,0.872651
201,0.871123
201,0.876732
201,0.875056
201,0.873463
201,0.877352
201,0.873892
201,0.875766
201,0.875764
202,0.872114
202,0.881455
202,0.876456
202,0.874531
202,0.879643
202,0.871513
202,0.875096
202,0.873896
202,0.874651
202,0.877776
203,0.879509
203,0.877933
203,0.876362
203,0.879045
203,0.881048
203,0.87934
203,0.871348
203,0.876683
203,0.875013
203,0.877126
204,0.878763
204,0.876589
204,0.881949
204,0.876804
204,0.883671
204,0.883982
204,0.876906
204,0.882016
204,0.880833
204,0.879582
205,0.881551
205,0.880676
205,0.880058
205,0.881948
205,0.885494
205,0.879211
205,0.881587
205,0.879751
205,0.880452
205,0.881104
206,0.879292
206,0.880267
206,0.88516
206,0.877578
206,0.885916
206,0.880048
206,0.88638
206,0.880551
206,0.886276
206,0.885886
207,0.886892
207,0.881252
207,0.881186
207,0.885145
207,0.881733
207,0.888766
